type,timestamp,price,gross_pnl,fee,net_pnl,capital_after
STOP,2017-10-20 12:00:00,5725.417070722328,-11.291622041586262,0.15546296560243403,-11.447085007188695,1105.891918150422
ENTRY,2017-10-20 16:00:00,6062.3581619999995,0.0,0.13384509774074443,-0.13384509774074443,1105.7580730526813
STOP,2017-10-21 16:00:00,5860.239205515685,-11.155985329055328,0.12938270360912232,-11.28536803266445,1094.4727050200167
ENTRY,2017-10-21 16:00:00,6025.877221,0.0,0.1071133160371567,-0.1071133160371567,1094.3655917039796
STOP,2017-10-22 04:00:00,5777.856201119414,-11.021778619112963,0.1027046045895115,-11.124483223702475,1083.241108480277
ENTRY,2017-10-26 12:00:00,5920.765697,0.0,0.13024461147865365,-0.13024461147865365,1083.1108638687983
STOP,2017-10-27 12:00:00,5722.077130148043,-10.926844820086309,0.12587387355061913,-11.052718693636928,1072.0581451751614
ENTRY,2017-10-29 04:00:00,5801.7299969999995,0.0,0.200953306082048,-0.200953306082048,1071.8571918690793
EXIT,2017-11-04 08:00:00,7082.894494000001,110.93856549693827,0.24532873228082333,110.69323676465744,1182.5504286337368
ENTRY,2017-11-04 12:00:00,7302.19,0.0,0.13391144689059659,-0.13391144689059659,1182.4165171868462
EXIT,2017-11-06 00:00:00,7213.375338,-4.071826360831222,0.1322827163462641,-4.2041090771774865,1178.2124081096688
ENTRY,2017-11-15 08:00:00,7000.0994,0.0,0.12476621753462139,-0.12476621753462139,1178.0876418921341
EXIT,2017-11-18 00:00:00,7586.443384,26.126743663761605,0.13521691500012603,25.99152674876148,1204.0791686408957
ENTRY,2017-11-18 08:00:00,7750.284388,0.0,0.08819250433545531,-0.08819250433545531,1203.9909761365602
EXIT,2017-11-18 16:00:00,7723.822158000001,-0.7528015157786307,0.08789138372914386,-0.8406928995077746,1203.1502832370525
ENTRY,2017-11-18 20:00:00,7764.268582,0.0,0.1387577704055647,-0.1387577704055647,1203.0115254666468
EXIT,2017-11-21 00:00:00,7892.041677,5.70868639871662,0.14104124496505133,5.5676451537515685,1208.5791706203984
ENTRY,2017-11-25 12:00:00,8545.552897,0.0,0.17004234398921117,-0.17004234398921117,1208.409128276409
EXIT,2017-11-29 16:00:00,9303.208200000001,37.69021302975157,0.18511842920111182,37.50509460055046,1245.9142228769595
ENTRY,2017-12-03 08:00:00,11619.474796999999,0.0,0.11776659615075098,-0.11776659615075098,1245.7964562808088
STOP,2017-12-03 08:00:00,11124.422540168041,-12.543729433214027,0.11274910437746538,-12.656478537591493,1233.1399777432173
ENTRY,2017-12-03 12:00:00,11713.512999999999,0.0,0.11417354626603392,-0.11417354626603392,1233.0258041969512
STOP,2017-12-03 20:00:00,11204.10004702857,-12.413330517198455,0.10920821405915454,-12.52253873125761,1220.5032654656936
ENTRY,2017-12-03 20:00:00,11168.759623,0.0,0.0845983138395817,-0.0845983138395817,1220.4186671518542
EXIT,2017-12-04 16:00:00,11145.905225,-0.43277937745143497,0.08442520208860113,-0.5172045795400361,1219.9014625723141
ENTRY,2017-12-04 20:00:00,11582.4737,0.0,0.07100749246022511,-0.07100749246022511,1219.830455079854
EXIT,2017-12-09 00:00:00,15497.909232,60.00990509846516,0.09501145449961118,59.91489364396555,1279.7453487238195
ENTRY,2017-12-15 08:00:00,17905.37,0.0,0.08460520089141445,-0.08460520089141445,1279.660743522928
EXIT,2017-12-17 20:00:00,18854.361994000003,11.2102763440122,0.08908931142901934,11.121187032583181,1290.7819305555113
ENTRY,2017-12-18 20:00:00,18861.906875,0.0,0.06903712705208297,-0.06903712705208297,1290.7128934284592
STOP,2017-12-19 08:00:00,17446.032923080358,-12.955724805052505,0.06385483713006196,-13.019579642182567,1277.6933137862766
ENTRY,2017-12-26 16:00:00,15792.616364,0.0,0.06634472543452799,-0.06634472543452799,1277.6269690608422
STOP,2017-12-27 16:00:00,14571.681404876514,-12.822858601997305,0.06121558199372907,-12.884074183991034,1264.742894876851
ENTRY,2018-01-02 16:00:00,14737.169824999999,0.0,0.08760459810246106,-0.08760459810246106,1264.6552902787487
