EXIT_mode,Capital,Trades
RSI40,2015.7359333870297,282
EMA_CROSS,2011.5804557264023,238
ST_BREAK,1897.4720025254942,206
EMA20,1784.6163413780293,308
RSI50,1632.546351952603,386
ADX_DROP,960.3044158461842,5
